location,year,hate_crime_incident_count,BEA_percapita_personal_income,BEA_personal_income_mills,1_revenue,2_general_revenue,3_intergovernmental_revenue,4_from_federal_government,5_from_state_government,6_from_local_governments,7_general_revenue_from_own_sources,8_taxes,9_property,10_sales_and_gross_receipts,11_general_sales,12_selective_sales,13_motor_fuel,14_alcoholic_beverage,15_tobacco_products,16_public_utilities,17_other_selective_sales,18_individual_income,19_corporate_income,20_motor_vehicle_license,21_other_taxes,22_charges_and_miscellaneous_general_revenue,23_current_charges,24_education,25_institutions__of_higher_education,26_school_lunch_sales_gross,27_hospitals,28_highways,29_air_transportation_airports,30_parking_facilities,31_sea_and_inland_port_facilities,32_natural_resources,33_parks_and_recreation,34_housing_and_community_development,35_sewerage,36_solid_waste_management,37_other_charges,38_miscellaneous_general_revenue,39_interest_earnings,40_special_assessments,41_sale_of_property,42_other_general_revenue,43_utility_revenue,44_water_supply,45_electric_power,46_gas_supply,47_transit,48_liquor_store_revenue,49_insurance_trust_revenue,50_unemployment_compensation,51_employee_retirement,52_workers_compensation,53_other_insurance_trust_revenue,54_expenditure,55_intergovernmental_expenditure,56_direct_expenditure,57_current_operations,58_capital_outlay,59_construction,60_other_capital_outlay,61_assistance_and_subsidies,62_interest_on_debt,63_insurance_benefits_and_repayments,64_exhibit_salaries_and_wages,65_direct_expenditure_by_function,66_direct_general_expenditure,67_capital_outlay,68_other_direct_general_expenditure,69_education,70_capital_outlay,71_higher_education,72_capital_outlay,73_elementary__secondary,74_capital_outlay,75_other_education,76_libraries,77_public_welfare,78_cash_assistance_payments,79_vendor_payments,80_other_public_welfare,81_hospitals,82_capital_outlay,83_health,84_employment_security_administration,85_veterans_services,86_highways,87_capital_outlay,88_air_transportation_airports,89_parking_facilities,90_sea_and_inland_port_facilities,92_police_protection,93_fire_protection,94_correction,95_capital_outlay,96_protective_inspection_and_regulation,97_natural_resources,98_capital_outlay,99_parks_and_recreation,100_capital_outlay,101_housing_and_community_development,102_sewerage,103_capital_outlay,104_solid_waste_management,105_capital_outlay,106_financial_administration,107_judicial_and_legal,108_general_public_buildings,109_other_governmental_administration,110_interest_on_general_debt,111_miscellaneous_commercial_activities,112_other_and_unallocable,113_utility_expenditure,114_capital_outlay,115_water_supply,116_electric_power,117_gas_supply,118_transit,119_liquor_store_expenditure,120_insurance_trust_expenditure,121_unemployment_compensation,122_employee_retirement,123_workers_compensation,124_other_insurance_trust,125_debt_outstanding,126_shortterm,127_longterm,130_public_debt_for_private_purposes,134_longterm_debt_issued,135_longterm_debt_retired,136_cash_and_security_holdings,137_insurance_trust_funds,138_unemployment_compensation,139_employee_retirement,140_workers_compensation,141_miscellaneous,142_other_than_insurance_trust_funds,143_offsets_to_debt,144_bond_funds,145_other
Delaware,2018,21,52839,51310.5,12732125,10933582,2641427,2641427,0,0,8292155,5333406,898427,602985,0,602985,131864,26556,123026,56755,264784,1652335,261252,58969,1859438,2958749,1560743,729401,715929,12642,4613,324156,7722,21651,39804,1675,19435,15339,163673,81680,151594,1398006,124486,28593,2434,1242493,477347,95213,361646,0,20488,0,1321196,103698,1208584,8914,0,12279846,1406,12278440,9624783,1192763,989470,203293,351317,293246,816331,2996413,12278440,10908406,1137440,9770966,3960424,350955,1387594,220673,2079748,125172,493082,46148,2701767,35717,2359603,306447,80689,269,533627,16540,0,763131,506704,7896,10718,55656,358715,38294,340098,4661,67409,82244,10343,79606,15381,179926,218985,89889,93878,13440,330673,193720,83710,149919,281359,4,233270,553703,55323,96970,306712,0,150021,0,816331,66699,744398,5234,0,7569811,10879,7558932,1600989,500128,532647,19626228,11310142,301350,11005112,3680,0,8316085,1829230,497743,5989112
Delaware,2019,22,53539,52537.6,12767492,11494350,2603151,2603151,0,0,8891199,5754025,941554,620256,0,620256,142807,26610,122610,56010,272220,1741418,296721,59061,2095015,3137174,1597536,758358,744014,13504,5582,326697,7908,19971,18072,1747,19871,16747,177684,87143,157756,1539638,171586,27728,2029,1338296,499196,98226,379931,0,21039,0,773946,93937,671095,8914,0,12887660,991,12886669,9890387,1438043,1215309,222734,390149,312819,855271,3074417,12886669,11447500,1377966,10069534,4317308,487593,1528742,301694,2254563,181835,534003,39937,2645564,36586,2276331,332647,80136,442,526217,17166,0,816900,547817,7902,11283,33847,372722,37186,359591,5136,74569,75298,5150,94888,28080,172374,263512,125942,104865,12323,342030,201692,111969,172331,301485,15,266713,583898,60077,98516,319208,0,166174,0,855271,60485,789552,5234,0,7450721,25913,7424808,1525126,465348,547439,20018075,11468133,349930,11114523,3680,0,8549942,1742314,400460,6407168
District of Columbia,2013,72,67774,43697.3,14098110,11959388,3982425,3982425,0,0,7976963,6180879,1969718,1511078,1085547,425531,22391,5945,33991,199213,163991,1640899,453280,36219,569685,1796084,665615,32188,30834,696,106819,51,0,42014,0,0,28927,29382,263466,4971,157797,1130469,81468,0,3613,1045388,951210,144235,0,0,806975,0,1187512,188709,998803,0,0,14945597,0,14945597,10845567,2813646,2349195,464451,148892,544526,592966,3418468,14945597,11556724,1711723,9845001,2525898,380384,158707,21294,2367191,359090,0,60102,3192152,148892,2548362,494898,233868,13110,447400,54533,0,637671,445410,0,31179,0,559765,217719,250999,22070,86429,46074,1369,207666,59270,497654,619498,463081,109153,9354,191802,114838,84754,69907,528739,0,788924,2795907,1101923,322084,0,0,2473823,0,592966,268283,324683,0,0,12407667,41200,12366467,780144,1280467,475633,13030779,8260463,328332,7932131,0,0,4770316,1110236,575780,3084300
District of Columbia,2014,70,71469,46780.2,14746531,11974505,3789766,3789766,0,0,8184739,6379567,2070974,1600421,1135037,465384,22961,6234,33205,200365,202619,1679173,415581,36083,577335,1805172,743436,32568,31151,676,119487,0,0,41281,0,0,25353,27066,280186,4403,213092,1061736,71338,0,1050,989348,1005449,150869,0,0,854580,0,1766577,170536,1596041,0,0,15234732,0,15234732,11433098,2555480,2278211,277269,133041,549294,563819,3612416,15234732,11788188,1514611,10273577,2579980,389986,151039,20723,2428941,369263,0,66551,3263733,133041,2600444,530248,252624,13219,397610,55053,0,400862,228989,0,27079,0,604640,233737,145254,10710,88997,64033,3631,243613,70636,624315,666507,509077,114112,3986,208503,120132,105033,74839,533313,0,917668,2882725,1040869,342532,0,0,2540193,0,563819,210283,353536,0,0,13086174,41200,13044974,774728,1663064,1006679,14101204,9296284,329576,8966708,0,0,4804920,1182893,316841,3305186
District of Columbia,2015,65,75623,50337.3,15059488,13141720,4207653,4207653,0,0,8934067,7115081,2251724,1751874,1315925,435949,25256,6244,31492,202057,170900,1868468,448259,37649,757107,1818986,797539,36322,31798,672,140867,0,0,40583,0,0,28608,27900,312768,5144,205347,1021447,51831,0,0,969616,1067057,168413,0,0,898644,0,850711,169371,681340,0,0,15705670,0,15705670,12047537,2488403,2290118,198285,149327,537899,482504,3751793,15705670,12388397,1615784,10772613,2724401,432834,178195,43207,2546206,389627,0,71910,3563573,149327,2700696,713550,277154,24457,472754,41818,0,469871,305014,0,27069,0,584667,243139,142372,7134,96871,60291,1655,220494,61750,604553,608664,442063,114296,2848,262970,107058,195481,76310,521577,0,901104,2834769,872619,320815,0,0,2513954,0,482504,132726,349778,0,0,13938989,91200,13847789,928432,1859987,1051581,15554117,9649901,362809,9287092,0,0,5904216,1278316,472674,4153226
District of Columbia,2016,115,78186,52684.5,14628056,13612630,4483920,4483920,0,0,9128710,7418773,2418896,1783982,1343192,440790,25332,6468,30451,186498,192041,1907862,556468,36751,714814,1709937,799060,41564,36811,807,146786,4742,0,43471,0,0,30633,27237,299665,4688,200274,910877,61020,0,1525,848332,1033925,174760,0,0,859165,0,-18499,166387,-184886,0,0,16593661,0,16593661,12578563,2778170,2578064,200106,152274,575816,508838,3889036,16593661,12770520,1413165,11357355,2765772,332893,158943,17610,2606829,315283,0,75218,3785463,152274,2913937,719252,269888,23417,455573,41235,0,354822,212189,0,28970,0,593345,275695,144915,4745,108188,67548,6763,328468,139752,678972,592945,426293,118357,2302,280169,132515,206826,79166,561678,0,824792,3314303,1365005,316763,0,0,2997540,0,508838,114633,394205,0,0,14520507,91200,14429307,1117596,1499372,1007547,15454008,9439639,406596,9033043,0,0,6014369,1486198,211565,4316606
District of Columbia,2018,213,82512,56572.9,15915117,13447948,3860043,3860043,0,0,9587905,7935059,2624083,1936523,1493101,443422,26268,6560,27956,179065,203573,2066842,574745,39514,693352,1652846,822165,42066,37194,998,114166,671,0,5187,0,0,31501,56666,389245,6198,176465,830681,98929,2394,21984,707374,979519,178996,0,0,800523,0,1487650,171251,1316399,0,0,18960182,0,18960182,12935854,3903722,2882393,1021329,879178,682136,559292,4476296,18960182,14324343,1806191,12518152,3041661,375581,135726,0,2905935,375581,0,128721,3759609,879178,2021482,858949,357699,98283,739427,44331,0,601126,369311,0,35421,0,627829,317468,252810,2498,121079,86889,7916,333052,130198,1024368,611516,397681,136337,8353,310984,162027,226935,189993,617961,0,597100,4076547,2097531,331486,0,0,3745061,0,559292,131764,427528,0,0,16157439,79200,16078239,1141155,3074806,1749701,18187637,12051658,481740,11569918,0,0,6135979,1281453,0,4854526
District of Columbia,2019,222,83270,57240.3,16276910,14265896,3870155,3870155,0,0,10395741,8560621,2800884,2023319,1592116,431203,27935,7042,28546,187656,180024,2299326,642656,45973,748463,1835120,840889,39134,34330,1134,121618,1386,0,5713,0,0,31165,49648,403029,6528,182668,994231,144456,5009,1687,843079,944896,155218,0,0,789678,0,1066118,172667,893451,0,0,20172049,0,20172049,14295789,4038963,2925918,1113045,550125,688160,599012,4680296,20172049,14919860,1723923,13195937,3113274,407750,147292,0,2965982,407750,0,134771,4093259,550125,2662466,880668,293380,28460,670833,43743,0,610896,452281,0,35508,0,657169,307370,257240,4919,126409,101345,5162,444302,110440,1182490,577507,264880,137545,14038,306211,171797,256397,157832,616004,0,624578,4653177,2315040,363519,0,0,4289658,0,599012,120010,479002,0,0,4886222,83170,4803052,0,619428,244325,16064488,13016563,564711,12451852,0,0,3047925,1718628,22524,1306773
Florida,2013,119,41162,802975.7,172330769,136051408,27790718,27790718,0,0,108260690,66080420,23707660,34706289,22625262,12081027,3147741,486278,1227200,4962577,2257231,0,2071710,1227182,4367579,42180270,28879964,4422292,3194179,267446,6822902,1474812,2009111,179643,407167,400856,652161,293697,3117432,2205736,6894155,13300306,2157200,2055464,153054,8934588,9229800,3733066,4948006,224104,324624,0,27049561,4407392,22638526,3643,0,155222550,0,155222550,121514322,14508163,10722792,3785371,2009116,5918375,11272574,40515102,155222550,133467333,12880650,120586683,37477498,2394117,9531771,859636,24654894,1412434,3290833,571055,23764196,236706,20669309,2858181,7741579,410626,4873901,358667,7274,8186150,5267094,1812077,150612,560519,7157530,3526118,3919284,40443,778559,3118687,595112,2626457,546945,2796191,3091673,687596,2366441,92584,2325504,2193375,407955,1165444,4766630,1438892,6285065,10482643,1627513,3877441,4879924,202990,1522288,0,11272574,2384992,8756329,131253,0,146513645,77398,146436247,20299611,16953868,18053342,311407866,156114922,1342876,154567955,204091,0,155292944,30270057,10768797,114254090
Florida,2014,65,43516,861412.3,180418044,140653596,29592942,29592942,0,0,111060654,66847574,23368194,35344356,23331862,12012494,3135241,452370,1322241,4719326,2383316,0,2043750,1380927,4710347,44213080,30026265,4448803,3265903,251327,6863314,1566283,1966248,187908,466053,459154,731192,209169,3296323,2224666,7607152,14186815,1639401,2294970,142461,10109983,9180953,3893466,4722552,230177,334758,0,30583495,917328,29663960,2207,0,160450026,0,160450026,125717095,15659654,12187929,3471725,1397384,5716752,11959141,41162683,160450026,137612264,13828643,123783621,38327864,2200966,9934658,724460,25775778,1468649,2617428,597418,25370414,251868,22378812,2739734,7933635,440471,5171244,335042,8093,10020096,6689569,2190433,165274,606417,7242698,3494227,4235906,54269,654855,2904688,382945,2740280,446953,2492153,3093136,732936,2409499,97725,2312773,2409098,393500,1157208,4616443,1048180,5681690,10878621,1831011,4103141,4937394,200780,1637306,0,11959141,2609358,9277249,72534,0,145213147,64882,145148265,18801405,12474482,16313563,331925803,172951156,898950,171761279,290927,0,158974647,26121298,9591055,123262294
Florida,2015,72,45659,919834.9,167483541,145071261,29707431,29707431,0,0,115363830,69369670,24496044,36029165,23851433,12177732,3224369,459019,1192906,4712264,2589174,0,2237500,1381709,5225252,45994160,30630730,4575391,3407132,219576,7439711,1782922,2051680,205052,494902,493977,737534,223327,3338047,2236389,7051798,15363430,1759270,2521158,220384,10862618,9564141,4095476,4871457,252772,344436,0,12848139,1575852,11269227,3060,0,164800873,0,164800873,130649027,16395674,12750190,3645484,1433614,5363547,10959011,42556925,164800873,142729146,14723749,128005397,39693103,2371415,10304869,681851,26643911,1682256,2744323,577639,26958435,222301,23894187,2841947,8530717,385697,5088956,323491,8745,10465060,7091110,2323813,167793,598501,7529788,3738753,4331700,60636,704987,3065706,479666,2829911,452689,2431905,3276528,787762,2379120,74589,2409921,2408991,404449,1153963,4292434,1030802,6003935,11112716,1671925,4340630,4838680,218141,1715265,0,10959011,632493,10252650,73868,0,139994455,76113,139918342,17736339,10527793,16205581,338014708,181536563,5126744,176201198,208621,0,156478145,24734864,8705305,123037976
Florida,2016,110,46454,954069.7,164755203,149892554,29597737,29597737,0,0,120294817,72722182,26098465,37311046,24644529,12666517,3382354,396418,1223029,4449077,3215639,0,2272230,1552270,5488171,47572635,30904042,4689132,3510190,207059,7958450,1985514,2144740,220405,529428,513554,785311,219973,3440019,2298380,6119136,16668593,1750290,2863472,201581,11853250,9523040,4208688,4722059,245076,347217,0,5339609,1114421,4089167,136021,0,167777134,0,167777134,131891685,17466544,13613518,3853026,1803537,5188840,11426528,43695182,167777134,145404608,15803135,129601473,41501078,2669820,10798564,677741,27362982,1985361,3339532,567323,26441109,230473,23408486,2802150,8809795,463960,5131836,304175,10769,10319717,7076918,2587365,192848,653036,7869704,3816152,4447036,77478,745407,3109422,574819,2996531,494700,2286631,3488479,948170,2536450,112037,2453079,2518119,310232,1226455,4156513,786570,6138777,10945998,1663409,4223028,4552410,215152,1955408,0,11426528,452374,10917278,56876,0,139264317,100125,139164192,17152027,19095324,20387251,335447601,172352525,6385810,165704190,262525,0,163095076,23569576,9360411,130165089
Florida,2018,141,51444,1087188.6,200484325,166105384,31990596,31990596,0,0,134114787,84097145,29273643,45070417,32175363,12895054,3642973,293098,1172492,4481707,3304784,0,2426900,1449604,5876581,50017643,32994938,4716206,3540689,169249,8780644,2163048,2285053,244181,607488,553323,826622,263805,3745922,2434745,6373903,17022705,1938773,2965042,225560,11893330,10056538,4636446,4877008,235531,307554,0,24322403,661942,23424540,235921,0,188039027,0,188039027,147665861,20350213,15845925,4504288,2361592,4631947,13029414,46821199,188039027,163477181,18339677,145137505,44804368,3156837,11497337,814789,29247299,2331674,4059732,603849,28935842,171936,25763847,3000059,10234100,572029,5806643,305179,11857,11143815,7364857,3013851,206189,555436,8876801,4260293,4842769,114188,857718,4238179,925419,3515037,850916,2469789,4007186,1074210,2697678,186768,3412907,2565158,302698,1328504,3727985,3420236,7333113,11532432,2010536,4568284,4698841,219643,2045664,0,13029414,377624,12607311,44479,0,129358808,101443,129257365,13584276,11300098,15029079,376343921,208212045,7748516,200181018,282511,0,168131877,21314596,10594608,136222673
Florida,2019,111,53375,1139799.3,200088979,172783607,33215538,33215538,0,0,139568069,85635469,31227441,43598038,30912183,12685854,3776298,308922,1136716,3947202,3516717,0,3114711,1474100,6221179,53932600,34459561,4760378,3517140,192861,9315059,2160298,2368251,265979,650729,589370,854952,297192,3808270,2515192,6873893,19473039,2627393,3550405,318618,12976623,10079793,4733208,4790745,263514,292326,0,17225579,567979,16443823,213777,0,198897417,0,198897417,155162681,22781862,17546745,5235117,2751668,4637506,13563701,48047133,198897417,172522287,19706752,152815535,47200060,3656893,12090905,1012282,30515476,2633295,4593679,663781,28821531,165055,25661559,2994917,10922744,769230,6745832,308238,12319,12142545,8178769,2582228,216828,540124,9456530,4517125,4795575,137417,944571,4673498,1210016,3761011,917542,2524369,4057093,991950,2985538,243685,3783138,2635576,302594,1380689,3684637,4859982,8004130,12811428,3075109,5024316,5432484,246458,2108171,0,13563701,329943,13190905,42853,0,130231810,146251,130085558,12947651,15056033,13026241,387444260,211817787,8171584,203351828,294375,0,175626474,20525791,12267487,142833196
Georgia,2013,57,37794,377202.2,82325261,64761397,15287263,15287263,0,0,49474134,33316947,10235701,12357044,9137855,3219189,1000626,315016,211618,331564,1360365,8772227,797255,457490,697230,16157187,11918942,3175694,2661037,186933,3888312,35121,809231,18447,292586,62104,198292,113769,1286578,589236,1449572,4238245,610946,55034,54792,3517473,4711024,1951884,1834042,747346,177752,0,12852840,1718279,11039544,0,95017,78287561,0,78287561,59030776,8416090,6559725,1856365,988908,2466926,7384861,21392417,78287561,64836770,7206084,57630686,25958750,2506595,6297952,793307,17044986,1632858,2615812,172581,10907062,85893,9541719,1279450,4621429,226001,2026374,63052,8395,3271142,2054187,666139,11432,238493,2359086,1055017,2043212,152683,179061,449939,68375,796684,185187,1301852,1185210,326297,687961,127495,920315,1168023,396420,1058928,1473937,46386,1769890,6065930,1210006,2261615,2176208,751366,876741,0,7384861,1507086,5778513,0,99262,54966310,589968,54376342,7507174,4190687,5637836,126528918,81628919,222938,81400452,0,5529,44899999,9669222,8667035,26563742
Georgia,2014,41,39969,402790.9,86575820,65349692,14980728,14980728,0,0,50368964,34132868,11001506,12201711,8894568,3307143,1006494,316705,216640,331020,1436284,8965572,943806,337456,682817,16236096,12097526,3110315,2604662,169382,4072356,41055,827859,18572,310599,51081,203026,109936,1325816,603226,1423685,4138570,640448,52205,58931,3386986,4911645,2010128,1828922,896824,175771,0,16314483,548430,15670081,0,95972,79438516,0,79438516,60060334,8225355,6253518,1971837,1014964,2463288,7674575,21687012,79438516,65472647,7054848,58417799,26028124,2529289,6124991,808201,17409085,1642113,2494048,171873,11291309,81911,9974159,1235239,4742357,283823,2100580,47762,8649,3432684,2160108,591687,11762,230056,2403201,1082581,1997065,133723,183007,456457,80251,790929,177126,1266010,1235967,316290,655126,65788,925095,1187745,353335,1101888,1432041,41874,1703483,6291294,1170507,2348940,2221255,866571,854528,0,7674575,1478521,6097576,0,98478,56555579,587571,55968008,7240040,6017927,6345999,136930531,92998982,1172668,91819704,0,6610,43931549,9180747,8033990,26716812
Georgia,2015,44,41941,427437.4,78522909,66995099,15047254,15047254,0,0,51947845,35872437,11459170,12669773,9190536,3479237,1025819,324698,215055,341902,1571763,9678524,1000536,351212,713222,16075408,11882945,2892517,2394280,163785,4077494,39381,582807,16338,356496,55153,231952,112242,1441519,617558,1459488,4192463,670910,54066,65897,3401590,5205693,2171304,1930644,928810,174935,0,6322117,853438,5374329,0,94350,79597340,0,79597340,60535512,8366897,6384565,1982332,1086289,2377706,7230936,22280029,79597340,66126532,7262723,58863809,25560266,2655124,5385463,662795,18245874,1879087,1928929,185375,11737517,91157,10393576,1252784,4788883,277796,2267098,33939,8486,3187866,1898033,674123,10550,308052,2547838,1101080,2049030,134450,180284,486746,92215,810354,164580,1216476,1251027,334188,694751,92872,947772,1212104,415781,983099,1443250,41734,1983051,6239872,1104174,2271399,2284445,900257,783771,0,7230936,463325,6704934,0,62677,55088919,418939,54669980,6604531,5736554,6804332,141349861,97044680,1744050,95291724,0,8906,44305181,8425134,6195731,29684316
Georgia,2016,39,43033,444023.7,78329632,69861935,15652489,15652489,0,0,54209446,37820219,11996286,13269806,9092543,4177263,1655028,334809,219870,350560,1616996,10439534,981002,366897,766694,16389227,12358709,3036040,2506497,163020,4068073,52150,583486,17364,346263,55380,258469,121629,1618875,614506,1586474,4030518,484411,45242,68234,3432631,4768745,2013847,1802736,791083,161079,0,3698952,799864,2804634,0,94454,82044149,0,82044149,62217463,8893295,7183581,1709714,1185669,2311949,7435773,23261711,82044149,68699529,7962274,60737255,26726085,2667182,5721378,716989,18916855,1834823,2087852,216742,11777936,107014,10393181,1277741,4758505,218085,2246563,37921,8444,4134770,2541756,624335,9490,329784,2667236,1157817,1989501,69205,166333,458033,109811,1134237,435154,1225726,1178268,248730,653652,38790,1036723,1307792,373159,945483,1429095,53235,2052664,5908847,931021,2179157,2192296,800030,737364,0,7435773,394407,6995262,0,46104,57020891,579029,56441862,6565101,8270852,6429561,143132529,95960489,2612934,93338586,0,8969,47172040,8384204,7572784,31215052
Georgia,2018,37,46824,493174.9,95152983,76795786,16475825,16475825,0,0,60319961,41182201,12685484,14387496,9780458,4607039,1801798,347986,224910,390568,1841777,11643781,1004298,395140,1066001,19137761,14509090,3153670,2615463,161336,5074488,87019,847629,16191,426382,62748,285439,150818,1996243,647455,1761008,4628671,572622,134458,138022,3783569,4614812,1856838,1809856,770105,178012,0,13742384,689234,12947209,0,105941,88931815,0,88931815,67611077,9403900,7681742,1722158,1349426,2425713,8141700,25885203,88931815,74453164,8215932,66237232,29489842,3023531,6329100,869270,20737977,1986647,2422765,173966,12697591,110400,11295926,1291265,5279460,142676,2199753,30598,11261,4397277,2590820,885314,9941,323906,2808522,1185384,2175621,80827,167589,611235,67655,1179785,437995,1149658,1202341,214909,745024,22896,1324871,1481868,454435,796089,1585328,82078,2004425,6336951,1187967,2236185,2513063,738416,849287,0,8141700,318888,7789365,0,33447,58594372,357445,58236927,7624375,6487246,6844806,163400237,115144341,4238348,110890901,0,15092,48255896,9407932,6698277,32149686
Georgia,2019,147,48697,518278,96983271,81572685,16933117,16933117,0,0,64639569,43798585,13700634,15130013,10373014,4756999,1837954,354539,223363,402320,1938822,12176943,1271270,387076,1132649,20840984,15453664,3244021,2676477,172462,5458821,95454,893601,20526,473619,64235,307607,146270,2244301,693026,1812181,5387320,888294,145827,150276,4202922,4755967,1841831,1895827,853069,165240,0,10654619,652564,9886451,0,115604,92256088,0,92256088,70192473,9727126,8050260,1676866,1428183,2443607,8464698,26571211,92256088,77371222,8621133,68750089,30764898,3250809,6494266,981406,21637085,2134719,2633547,191871,13252168,98651,11788164,1365353,5568684,179022,2065523,25660,14190,4459048,2602272,912921,9558,507601,2849117,1224090,2160926,56085,155504,647640,81550,1113799,293722,1095821,1154010,81905,795685,29557,1351358,1534024,571015,774069,1609680,52050,2510312,6420169,1105994,2164379,2508001,845480,902308,0,8464698,295567,8135397,0,33734,60443868,510500,59933368,7762599,6617180,4871696,172675714,118227866,4990660,113225384,0,11822,54447848,10040794,8433261,35973793
Hawaii,2018,44,52174,76183.9,20169887,17664411,3210729,3210729,0,0,14453682,10416009,1928566,5236159,3774325,1461834,176032,51383,120386,236213,877820,2430032,146831,407787,266634,4037673,2527188,429212,397594,23409,452557,4769,483411,10967,157984,24297,51915,34941,521271,175030,180834,1510485,190226,25249,794,1294216,432971,371856,0,0,61115,0,2072505,187428,1885077,0,0,17730232,382,17729850,13062053,2582254,1677978,904276,139444,360138,1585961,4446114,17729850,14959764,1978643,12981121,3658257,494699,1263577,176523,2264229,318018,130451,38124,2984030,25665,2462517,495848,553025,5276,569663,6883,0,760988,335667,680776,3896,124093,487092,256643,228160,2566,71584,156971,39039,315950,85318,315227,431652,252412,285240,44790,290312,325160,150925,154174,335022,438,1775479,1184125,603611,406752,0,0,777373,0,1585961,169438,1416523,0,0,17139063,100000,17039063,335496,3173316,2668586,30633353,17733054,1064924,16668130,0,0,12900299,1259906,702569,10937824
Hawaii,2019,40,53888,78516.1,20373468,18496739,3084327,3084327,0,0,15412412,11112327,2060154,5630119,4089019,1541100,178511,51913,111803,266351,932522,2568259,190484,415411,247900,4300085,2607427,430102,398104,23059,453706,4774,494835,10947,187254,23987,55665,36761,530350,191014,188032,1692658,328648,25359,1148,1337503,431674,370391,0,0,61283,0,1445055,198764,1246291,0,0,18684637,402,18684235,13726241,2768784,1843866,924918,147662,395852,1645696,4670223,18684235,15781285,2116025,13665260,3790284,496217,1267995,183543,2396395,312666,125894,36578,2955618,32512,2412548,510558,531566,3792,645583,7526,0,829949,378124,826093,3242,110807,506973,268782,241705,1648,73677,147746,21612,306202,84365,324958,444408,251419,289784,23214,297795,325777,140301,225040,372909,396,2077586,1257254,652759,401661,0,0,855593,0,1645696,159558,1486138,0,0,17715106,0,17715106,56414,1482402,1836522,31542602,18628215,1151108,17477107,0,0,12914387,1018981,422237,11473169
Idaho,2013,32,36095,58403.7,13284760,10681162,2717979,2717979,0,0,7963183,5117027,1442734,1809780,1324182,485598,244738,8588,49324,33823,149125,1292562,200340,139674,231937,2846156,2101491,473949,436090,23910,574240,33844,36207,385,1737,86945,41839,25511,188125,137505,501204,744665,161304,40089,20706,522566,220163,135012,81988,0,3163,136717,2246718,652346,1425237,169135,0,12379243,0,12379243,9798366,1143017,815772,327245,134193,253618,1050049,3418225,12379243,10999596,1088825,9910771,3148057,161490,1046044,89501,1914551,62882,187462,59278,2422697,59116,1855902,507679,658205,64797,349909,47477,0,870229,473807,56762,818,2443,400586,167012,481783,10193,53594,274665,33654,134029,15077,133163,196659,79119,136158,6736,305150,201881,105631,104380,245944,38855,404231,225568,54192,137542,69298,29,18699,104030,1050049,236282,694445,119322,0,5967304,14299,5953005,2669794,828661,1191032,23291038,13605622,699334,12273080,633208,0,9685416,3123949,387199,6174268
Idaho,2014,26,37680,61801.4,14122263,10932761,2733008,2733008,0,0,8199753,5272136,1498992,1860244,1374652,485592,248454,8831,47816,36434,144057,1338075,190002,143611,241212,2927617,2223496,485550,447824,23223,600372,33858,36942,178,1891,104662,43879,25899,216225,144218,529822,704121,162137,27684,39742,474558,232186,143561,85687,0,2938,136343,2820973,141935,2504570,174468,0,12606110,0,12606110,9930938,1073588,806793,266795,133037,250900,1217647,3518797,12606110,11054828,1025585,10029243,3176854,156179,1022017,56156,1959703,91323,195134,61228,2475839,58196,1897137,520506,658405,45253,339269,40159,0,882829,480536,61255,419,4516,412193,165870,491141,10775,56305,266792,21729,141194,19529,132186,194837,63031,138542,6679,275977,202481,84814,111344,242887,44436,393056,227007,48003,132675,72470,36,21826,106628,1217647,351825,736531,129291,0,6241832,15362,6226470,2609907,787493,783086,24878522,14599199,-21467,13974409,646257,0,10279323,3098810,567150,6613363
Idaho,2015,34,39386,65475.7,13218586,11567538,2783234,2783234,0,0,8784304,5639621,1556739,1987805,1466480,521325,258993,8985,48408,39950,164989,1478368,217082,150595,249032,3144683,2383991,509101,471261,22873,594965,33128,38523,187,1134,99259,48208,28357,229835,153903,647391,760692,155636,35641,75007,494408,237127,147287,86604,0,3236,145953,1267968,173595,884469,209904,0,12666037,0,12666037,10134743,1101720,804337,297383,137869,244162,1047543,3626093,12666037,11255013,1037265,10217748,3222484,148232,1046262,64133,1978009,75680,198213,55280,2549274,58647,1990997,499630,687022,45101,340023,37697,0,883307,489473,56948,56,1324,404541,174772,546691,12722,58271,292313,26945,143916,19027,134512,187270,55552,160483,19527,292348,211500,104370,112727,237056,40815,320013,250921,64455,145255,75689,33,29944,112560,1047543,112387,798011,137145,0,6341811,12751,6329060,2673577,937357,753417,27131373,16002714,901574,14452536,648604,0,11128659,3182696,796862,7149101
Idaho,2016,27,40098,68009.3,13188505,11695270,2750606,2750606,0,0,8944664,5923220,1603067,2167275,1562111,605164,337335,9280,50574,38427,169548,1521238,188996,185655,256989,3021444,2253898,516262,479396,22672,555522,37437,41969,291,976,94253,51797,34072,250289,165332,505698,767546,180781,31112,58019,497634,241994,156286,82352,0,3356,155416,1095825,158151,730498,207176,0,12475868,0,12475868,9881779,1108590,752228,356362,146238,243563,1095698,3816933,12475868,11009253,1042444,9966809,3356579,147704,1107259,72087,2046687,74932,202633,58931,2440566,61735,2060265,318566,706634,67349,258356,9146,0,841937,453406,61916,60,1776,430772,173385,362929,15012,56398,284943,21535,151757,22700,147060,216433,76187,163114,11705,285192,199191,86046,125278,236411,40481,313962,250850,66146,144824,77302,36,28688,120067,1095698,102290,852336,141072,0,6140069,12265,6127804,2632340,904877,1064447,27832736,15975373,919912,14368151,687310,0,11857363,3227325,783794,7846244
